ScoreMargin,Bot_v_Bot,Winner,WinScore,LoseScore
38,Beginner vs Advanced,Advanced,59,21
36,Beginner vs Advanced,Advanced,58,22
33,Beginner vs Advanced,Advanced,55,22
37,Beginner vs Advanced,Advanced,56,19
32,Beginner vs Advanced,Advanced,53,21
27,Beginner vs Advanced,Advanced,55,28
36,Beginner vs Advanced,Advanced,56,20
33,Beginner vs Advanced,Advanced,59,26
46,Beginner vs Advanced,Advanced,63,17
34,Beginner vs Advanced,Advanced,59,25
33,Beginner vs Advanced,Advanced,60,27
35,Beginner vs Advanced,Advanced,55,20
34,Beginner vs Advanced,Advanced,60,26
39,Beginner vs Advanced,Advanced,59,20
29,Beginner vs Advanced,Advanced,56,27
36,Beginner vs Advanced,Advanced,58,22
45,Beginner vs Advanced,Advanced,61,16
27,Beginner vs Advanced,Advanced,53,26
35,Beginner vs Advanced,Advanced,56,21
40,Beginner vs Advanced,Advanced,58,18
43,Beginner vs Advanced,Advanced,58,15
43,Beginner vs Advanced,Advanced,62,19
48,Beginner vs Advanced,Advanced,60,12
49,Beginner vs Advanced,Advanced,61,12
41,Beginner vs Advanced,Advanced,58,17
46,Beginner vs Advanced,Advanced,64,18
44,Beginner vs Advanced,Advanced,61,17
41,Beginner vs Advanced,Advanced,62,21
34,Beginner vs Advanced,Advanced,59,25
44,Beginner vs Advanced,Advanced,62,18
39,Beginner vs Advanced,Advanced,59,20
42,Beginner vs Advanced,Advanced,58,16
37,Beginner vs Advanced,Advanced,56,19
34,Beginner vs Advanced,Advanced,56,22
39,Beginner vs Advanced,Advanced,57,18
31,Beginner vs Advanced,Advanced,57,26
45,Beginner vs Advanced,Advanced,61,16
36,Beginner vs Advanced,Advanced,56,20
47,Beginner vs Advanced,Advanced,64,17
38,Beginner vs Advanced,Advanced,59,21
34,Beginner vs Advanced,Advanced,55,21
37,Beginner vs Advanced,Advanced,58,21
48,Beginner vs Advanced,Advanced,65,17
37,Beginner vs Advanced,Advanced,58,21
36,Beginner vs Advanced,Advanced,54,18
35,Beginner vs Advanced,Advanced,58,23
40,Beginner vs Advanced,Advanced,61,21
38,Beginner vs Advanced,Advanced,59,21
41,Beginner vs Advanced,Advanced,58,17
37,Beginner vs Advanced,Advanced,56,19
36,Beginner vs Advanced,Advanced,59,23
42,Beginner vs Advanced,Advanced,61,19
41,Beginner vs Advanced,Advanced,59,18
28,Beginner vs Advanced,Advanced,52,24
46,Beginner vs Advanced,Advanced,62,16
40,Beginner vs Advanced,Advanced,57,17
33,Beginner vs Advanced,Advanced,57,24
44,Beginner vs Advanced,Advanced,61,17
41,Beginner vs Advanced,Advanced,57,16
37,Beginner vs Advanced,Advanced,58,21
38,Beginner vs Advanced,Advanced,60,22
38,Beginner vs Advanced,Advanced,60,22
43,Beginner vs Advanced,Advanced,61,18
37,Beginner vs Advanced,Advanced,59,22
31,Beginner vs Advanced,Advanced,56,25
45,Beginner vs Advanced,Advanced,62,17
39,Beginner vs Advanced,Advanced,60,21
32,Beginner vs Advanced,Advanced,56,24
36,Beginner vs Advanced,Advanced,56,20
29,Beginner vs Advanced,Advanced,53,24
28,Beginner vs Advanced,Advanced,55,27
28,Beginner vs Advanced,Advanced,57,29
37,Beginner vs Advanced,Advanced,60,23
42,Beginner vs Advanced,Advanced,60,18
33,Beginner vs Advanced,Advanced,57,24
41,Beginner vs Advanced,Advanced,59,18
26,Beginner vs Advanced,Advanced,54,28
41,Beginner vs Advanced,Advanced,58,17
36,Beginner vs Advanced,Advanced,57,21
41,Beginner vs Advanced,Advanced,57,16
33,Beginner vs Advanced,Advanced,54,21
32,Beginner vs Advanced,Advanced,56,24
28,Beginner vs Advanced,Advanced,54,26
43,Beginner vs Advanced,Advanced,61,18
41,Beginner vs Advanced,Advanced,61,20
32,Beginner vs Advanced,Advanced,56,24
39,Beginner vs Advanced,Advanced,60,21
29,Beginner vs Advanced,Advanced,57,28
41,Beginner vs Advanced,Advanced,59,18
33,Beginner vs Advanced,Advanced,56,23
35,Beginner vs Advanced,Advanced,56,21
41,Beginner vs Advanced,Advanced,60,19
42,Beginner vs Advanced,Advanced,59,17
34,Beginner vs Advanced,Advanced,57,23
34,Beginner vs Advanced,Advanced,59,25
36,Beginner vs Advanced,Advanced,58,22
41,Beginner vs Advanced,Advanced,58,17
40,Beginner vs Advanced,Advanced,57,17
36,Beginner vs Advanced,Advanced,58,22
36,Beginner vs Advanced,Advanced,61,25
37,Beginner vs Advanced,Advanced,54,17
32,Beginner vs Advanced,Advanced,54,22
37,Beginner vs Advanced,Advanced,60,23
35,Beginner vs Advanced,Advanced,54,19
28,Beginner vs Advanced,Advanced,56,28
31,Beginner vs Advanced,Advanced,53,22
40,Beginner vs Advanced,Advanced,58,18
40,Beginner vs Advanced,Advanced,58,18
42,Beginner vs Advanced,Advanced,59,17
42,Beginner vs Advanced,Advanced,60,18
39,Beginner vs Advanced,Advanced,60,21
37,Beginner vs Advanced,Advanced,59,22
37,Beginner vs Advanced,Advanced,57,20
35,Beginner vs Advanced,Advanced,59,24
35,Beginner vs Advanced,Advanced,57,22
38,Beginner vs Advanced,Advanced,58,20
42,Beginner vs Advanced,Advanced,62,20
32,Beginner vs Advanced,Advanced,58,26
35,Beginner vs Advanced,Advanced,57,22
31,Beginner vs Advanced,Advanced,56,25
41,Beginner vs Advanced,Advanced,61,20
30,Beginner vs Advanced,Advanced,55,25
41,Beginner vs Advanced,Advanced,61,20
37,Beginner vs Advanced,Advanced,58,21
35,Beginner vs Advanced,Advanced,58,23
31,Beginner vs Advanced,Advanced,56,25
37,Beginner vs Advanced,Advanced,58,21
39,Beginner vs Advanced,Advanced,56,17
31,Beginner vs Advanced,Advanced,57,26
42,Beginner vs Advanced,Advanced,61,19
34,Beginner vs Advanced,Advanced,58,24
42,Beginner vs Advanced,Advanced,60,18
34,Beginner vs Advanced,Advanced,58,24
39,Beginner vs Advanced,Advanced,58,19
35,Beginner vs Advanced,Advanced,57,22
42,Beginner vs Advanced,Advanced,61,19
42,Beginner vs Advanced,Advanced,59,17
29,Beginner vs Advanced,Advanced,56,27
39,Beginner vs Advanced,Advanced,58,19
38,Beginner vs Advanced,Advanced,57,19
39,Beginner vs Advanced,Advanced,54,15
40,Beginner vs Advanced,Advanced,60,20
43,Beginner vs Advanced,Advanced,61,18
34,Beginner vs Advanced,Advanced,55,21
41,Beginner vs Advanced,Advanced,59,18
32,Beginner vs Advanced,Advanced,53,21
33,Beginner vs Advanced,Advanced,54,21
39,Beginner vs Advanced,Advanced,55,16
36,Beginner vs Advanced,Advanced,58,22
38,Beginner vs Advanced,Advanced,58,20
36,Beginner vs Advanced,Advanced,57,21
37,Beginner vs Advanced,Advanced,54,17
32,Beginner vs Advanced,Advanced,59,27
31,Beginner vs Advanced,Advanced,55,24
35,Beginner vs Advanced,Advanced,57,22
40,Beginner vs Advanced,Advanced,59,19
33,Beginner vs Advanced,Advanced,56,23
31,Beginner vs Advanced,Advanced,55,24
32,Beginner vs Advanced,Advanced,56,24
47,Beginner vs Advanced,Advanced,61,14
38,Beginner vs Advanced,Advanced,59,21
43,Beginner vs Advanced,Advanced,59,16
36,Beginner vs Advanced,Advanced,58,22
35,Beginner vs Advanced,Advanced,57,22
33,Beginner vs Advanced,Advanced,56,23
36,Beginner vs Advanced,Advanced,58,22
34,Beginner vs Advanced,Advanced,58,24
39,Beginner vs Advanced,Advanced,61,22
30,Beginner vs Advanced,Advanced,55,25
39,Beginner vs Advanced,Advanced,59,20
37,Beginner vs Advanced,Advanced,56,19
33,Beginner vs Advanced,Advanced,55,22
39,Beginner vs Advanced,Advanced,54,15
39,Beginner vs Advanced,Advanced,60,21
35,Beginner vs Advanced,Advanced,57,22
44,Beginner vs Advanced,Advanced,61,17
36,Beginner vs Advanced,Advanced,55,19
39,Beginner vs Advanced,Advanced,61,22
42,Beginner vs Advanced,Advanced,63,21
28,Beginner vs Advanced,Advanced,52,24
31,Beginner vs Advanced,Advanced,53,22
34,Beginner vs Advanced,Advanced,57,23
31,Beginner vs Advanced,Advanced,55,24
24,Beginner vs Advanced,Advanced,55,31
40,Beginner vs Advanced,Advanced,58,18
42,Beginner vs Advanced,Advanced,61,19
36,Beginner vs Advanced,Advanced,58,22
37,Beginner vs Advanced,Advanced,56,19
32,Beginner vs Advanced,Advanced,55,23
38,Beginner vs Advanced,Advanced,57,19
34,Beginner vs Advanced,Advanced,58,24
39,Beginner vs Advanced,Advanced,61,22
30,Beginner vs Advanced,Advanced,55,25
37,Beginner vs Advanced,Advanced,56,19
33,Beginner vs Advanced,Advanced,56,23
33,Beginner vs Advanced,Advanced,56,23
42,Beginner vs Advanced,Advanced,61,19
29,Beginner vs Advanced,Advanced,56,27
37,Beginner vs Advanced,Advanced,57,20
39,Beginner vs Advanced,Advanced,60,21
32,Beginner vs Advanced,Advanced,56,24
43,Beginner vs Advanced,Advanced,62,19
41,Beginner vs Advanced,Advanced,62,21
32,Beginner vs Advanced,Advanced,59,27
42,Beginner vs Advanced,Advanced,59,17
48,Beginner vs Advanced,Advanced,64,16
32,Beginner vs Advanced,Advanced,53,21
36,Beginner vs Advanced,Advanced,60,24
35,Beginner vs Advanced,Advanced,57,22
44,Beginner vs Advanced,Advanced,60,16
37,Beginner vs Advanced,Advanced,57,20
29,Beginner vs Advanced,Advanced,56,27
44,Beginner vs Advanced,Advanced,62,18
46,Beginner vs Advanced,Advanced,60,14
43,Beginner vs Advanced,Advanced,59,16
39,Beginner vs Advanced,Advanced,58,19
28,Beginner vs Advanced,Advanced,56,28
32,Beginner vs Advanced,Advanced,56,24
31,Beginner vs Advanced,Advanced,54,23
38,Beginner vs Advanced,Advanced,59,21
40,Beginner vs Advanced,Advanced,59,19
38,Beginner vs Advanced,Advanced,59,21
34,Beginner vs Advanced,Advanced,59,25
41,Beginner vs Advanced,Advanced,58,17
33,Beginner vs Advanced,Advanced,56,23
42,Beginner vs Advanced,Advanced,60,18
43,Beginner vs Advanced,Advanced,59,16
36,Beginner vs Advanced,Advanced,58,22
36,Beginner vs Advanced,Advanced,60,24
27,Beginner vs Advanced,Advanced,55,28
40,Beginner vs Advanced,Advanced,59,19
41,Beginner vs Advanced,Advanced,59,18
38,Beginner vs Advanced,Advanced,61,23
37,Beginner vs Advanced,Advanced,60,23
35,Beginner vs Advanced,Advanced,58,23
40,Beginner vs Advanced,Advanced,60,20
29,Beginner vs Advanced,Advanced,56,27
36,Beginner vs Advanced,Advanced,57,21
30,Beginner vs Advanced,Advanced,54,24
40,Beginner vs Advanced,Advanced,60,20
37,Beginner vs Advanced,Advanced,58,21
41,Beginner vs Advanced,Advanced,59,18
37,Beginner vs Advanced,Advanced,62,25
32,Beginner vs Advanced,Advanced,56,24
42,Beginner vs Advanced,Advanced,62,20
36,Beginner vs Advanced,Advanced,55,19
39,Beginner vs Advanced,Advanced,60,21
36,Beginner vs Advanced,Advanced,55,19
43,Beginner vs Advanced,Advanced,60,17
37,Beginner vs Advanced,Advanced,57,20
34,Beginner vs Advanced,Advanced,55,21
44,Beginner vs Advanced,Advanced,62,18
30,Beginner vs Advanced,Advanced,57,27
37,Beginner vs Advanced,Advanced,61,24
39,Beginner vs Advanced,Advanced,58,19
33,Beginner vs Advanced,Advanced,55,22
37,Beginner vs Advanced,Advanced,59,22
38,Beginner vs Advanced,Advanced,57,19
31,Beginner vs Advanced,Advanced,57,26
43,Beginner vs Advanced,Advanced,59,16
41,Beginner vs Advanced,Advanced,61,20
35,Beginner vs Advanced,Advanced,57,22
34,Beginner vs Advanced,Advanced,54,20
36,Beginner vs Advanced,Advanced,58,22
29,Beginner vs Advanced,Advanced,56,27
39,Beginner vs Advanced,Advanced,58,19
30,Beginner vs Advanced,Advanced,56,26
38,Beginner vs Advanced,Advanced,54,16
29,Beginner vs Advanced,Advanced,56,27
37,Beginner vs Advanced,Advanced,58,21
45,Beginner vs Advanced,Advanced,61,16
36,Beginner vs Advanced,Advanced,58,22
30,Beginner vs Advanced,Advanced,56,26
39,Beginner vs Advanced,Advanced,60,21
40,Beginner vs Advanced,Advanced,60,20
33,Beginner vs Advanced,Advanced,57,24
29,Beginner vs Advanced,Advanced,55,26
34,Beginner vs Advanced,Advanced,56,22
28,Beginner vs Advanced,Advanced,55,27
37,Beginner vs Advanced,Advanced,60,23
28,Beginner vs Advanced,Advanced,54,26
50,Beginner vs Advanced,Advanced,64,14
33,Beginner vs Advanced,Advanced,56,23
27,Beginner vs Advanced,Advanced,53,26
38,Beginner vs Advanced,Advanced,60,22
38,Beginner vs Advanced,Advanced,58,20
39,Beginner vs Advanced,Advanced,58,19
39,Beginner vs Advanced,Advanced,58,19
44,Beginner vs Advanced,Advanced,60,16
30,Beginner vs Advanced,Advanced,55,25
43,Beginner vs Advanced,Advanced,62,19
32,Beginner vs Advanced,Advanced,56,24
40,Beginner vs Advanced,Advanced,61,21
39,Beginner vs Advanced,Advanced,56,17
31,Beginner vs Advanced,Advanced,55,24
30,Beginner vs Advanced,Advanced,53,23
36,Beginner vs Advanced,Advanced,59,23
37,Beginner vs Advanced,Advanced,61,24
37,Beginner vs Advanced,Advanced,62,25
45,Beginner vs Advanced,Advanced,60,15
33,Beginner vs Advanced,Advanced,53,20
40,Beginner vs Advanced,Advanced,59,19
36,Beginner vs Advanced,Advanced,59,23
27,Beginner vs Advanced,Advanced,53,26
34,Beginner vs Advanced,Advanced,60,26
38,Beginner vs Advanced,Advanced,60,22
42,Beginner vs Advanced,Advanced,62,20
42,Beginner vs Advanced,Advanced,60,18
36,Beginner vs Advanced,Advanced,57,21
24,Beginner vs Advanced,Advanced,52,28
28,Beginner vs Advanced,Advanced,56,28
40,Beginner vs Advanced,Advanced,59,19
31,Beginner vs Advanced,Advanced,55,24
29,Beginner vs Advanced,Advanced,57,28
34,Beginner vs Advanced,Advanced,59,25
40,Beginner vs Advanced,Advanced,60,20
39,Beginner vs Advanced,Advanced,62,23
36,Beginner vs Advanced,Advanced,58,22
39,Beginner vs Advanced,Advanced,58,19
41,Beginner vs Advanced,Advanced,59,18
35,Beginner vs Advanced,Advanced,57,22
38,Beginner vs Advanced,Advanced,58,20
31,Beginner vs Advanced,Advanced,55,24
42,Beginner vs Advanced,Advanced,60,18
35,Beginner vs Advanced,Advanced,57,22
47,Beginner vs Advanced,Advanced,60,13
32,Beginner vs Advanced,Advanced,56,24
36,Beginner vs Advanced,Advanced,56,20
32,Beginner vs Advanced,Advanced,56,24
32,Beginner vs Advanced,Advanced,58,26
44,Beginner vs Advanced,Advanced,64,20
34,Beginner vs Advanced,Advanced,57,23
37,Beginner vs Advanced,Advanced,58,21
23,Beginner vs Advanced,Advanced,54,31
38,Beginner vs Advanced,Advanced,59,21
34,Beginner vs Advanced,Advanced,53,19
41,Beginner vs Advanced,Advanced,61,20
30,Beginner vs Advanced,Advanced,54,24
30,Beginner vs Advanced,Advanced,57,27
40,Beginner vs Advanced,Advanced,60,20
36,Beginner vs Advanced,Advanced,58,22
39,Beginner vs Advanced,Advanced,57,18
37,Beginner vs Advanced,Advanced,55,18
37,Beginner vs Advanced,Advanced,58,21
28,Beginner vs Advanced,Advanced,57,29
40,Beginner vs Advanced,Advanced,59,19
38,Beginner vs Advanced,Advanced,59,21
37,Beginner vs Advanced,Advanced,56,19
39,Beginner vs Advanced,Advanced,57,18
45,Beginner vs Advanced,Advanced,62,17
30,Beginner vs Advanced,Advanced,55,25
41,Beginner vs Advanced,Advanced,59,18
41,Beginner vs Advanced,Advanced,61,20
37,Beginner vs Advanced,Advanced,57,20
34,Beginner vs Advanced,Advanced,58,24
33,Beginner vs Advanced,Advanced,57,24
42,Beginner vs Advanced,Advanced,60,18
34,Beginner vs Advanced,Advanced,56,22
39,Beginner vs Advanced,Advanced,60,21
41,Beginner vs Advanced,Advanced,60,19
27,Beginner vs Advanced,Advanced,55,28
37,Beginner vs Advanced,Advanced,58,21
36,Beginner vs Advanced,Advanced,59,23
35,Beginner vs Advanced,Advanced,58,23
33,Beginner vs Advanced,Advanced,58,25
43,Beginner vs Advanced,Advanced,57,14
38,Beginner vs Advanced,Advanced,59,21
34,Beginner vs Advanced,Advanced,57,23
38,Beginner vs Advanced,Advanced,58,20
43,Beginner vs Advanced,Advanced,61,18
33,Beginner vs Advanced,Advanced,57,24
39,Beginner vs Advanced,Advanced,59,20
37,Beginner vs Advanced,Advanced,60,23
35,Beginner vs Advanced,Advanced,56,21
39,Beginner vs Advanced,Advanced,60,21
37,Beginner vs Advanced,Advanced,61,24
33,Beginner vs Advanced,Advanced,53,20
35,Beginner vs Advanced,Advanced,56,21
42,Beginner vs Advanced,Advanced,60,18
35,Beginner vs Advanced,Advanced,56,21
32,Beginner vs Advanced,Advanced,54,22
37,Beginner vs Advanced,Advanced,57,20
38,Beginner vs Advanced,Advanced,60,22
37,Beginner vs Advanced,Advanced,59,22
36,Beginner vs Advanced,Advanced,57,21
25,Beginner vs Advanced,Advanced,55,30
37,Beginner vs Advanced,Advanced,58,21
37,Beginner vs Advanced,Advanced,57,20
30,Beginner vs Advanced,Advanced,55,25
39,Beginner vs Advanced,Advanced,60,21
44,Beginner vs Advanced,Advanced,62,18
45,Beginner vs Advanced,Advanced,61,16
36,Beginner vs Advanced,Advanced,58,22
23,Beginner vs Advanced,Advanced,54,31
31,Beginner vs Advanced,Advanced,57,26
32,Beginner vs Advanced,Advanced,55,23
24,Beginner vs Advanced,Advanced,51,27
36,Beginner vs Advanced,Advanced,59,23
33,Beginner vs Advanced,Advanced,54,21
36,Beginner vs Advanced,Advanced,57,21
32,Beginner vs Advanced,Advanced,58,26
43,Beginner vs Advanced,Advanced,58,15
29,Beginner vs Advanced,Advanced,54,25
35,Beginner vs Advanced,Advanced,58,23
42,Beginner vs Advanced,Advanced,60,18
31,Beginner vs Advanced,Advanced,58,27
36,Beginner vs Advanced,Advanced,59,23
31,Beginner vs Advanced,Advanced,55,24
33,Beginner vs Advanced,Advanced,56,23
45,Beginner vs Advanced,Advanced,61,16
26,Beginner vs Advanced,Advanced,53,27
42,Beginner vs Advanced,Advanced,56,14
37,Beginner vs Advanced,Advanced,58,21
29,Beginner vs Advanced,Advanced,55,26
38,Beginner vs Advanced,Advanced,60,22
37,Beginner vs Advanced,Advanced,60,23
25,Beginner vs Advanced,Advanced,54,29
35,Beginner vs Advanced,Advanced,55,20
31,Beginner vs Advanced,Advanced,55,24
35,Beginner vs Advanced,Advanced,59,24
38,Beginner vs Advanced,Advanced,61,23
36,Beginner vs Advanced,Advanced,58,22
40,Beginner vs Advanced,Advanced,57,17
41,Beginner vs Advanced,Advanced,60,19
37,Beginner vs Advanced,Advanced,60,23
39,Beginner vs Advanced,Advanced,61,22
33,Beginner vs Advanced,Advanced,55,22
44,Beginner vs Advanced,Advanced,62,18
41,Beginner vs Advanced,Advanced,61,20
37,Beginner vs Advanced,Advanced,58,21
39,Beginner vs Advanced,Advanced,59,20
38,Beginner vs Advanced,Advanced,57,19
39,Beginner vs Advanced,Advanced,60,21
31,Beginner vs Advanced,Advanced,59,28
29,Beginner vs Advanced,Advanced,55,26
38,Beginner vs Advanced,Advanced,53,15
38,Beginner vs Advanced,Advanced,57,19
36,Beginner vs Advanced,Advanced,59,23
35,Beginner vs Advanced,Advanced,58,23
38,Beginner vs Advanced,Advanced,61,23
23,Beginner vs Advanced,Advanced,54,31
50,Beginner vs Advanced,Advanced,63,13
36,Beginner vs Advanced,Advanced,57,21
29,Beginner vs Advanced,Advanced,56,27
28,Beginner vs Advanced,Advanced,55,27
42,Beginner vs Advanced,Advanced,62,20
34,Beginner vs Advanced,Advanced,56,22
30,Beginner vs Advanced,Advanced,57,27
33,Beginner vs Advanced,Advanced,56,23
31,Beginner vs Advanced,Advanced,53,22
36,Beginner vs Advanced,Advanced,57,21
34,Beginner vs Advanced,Advanced,57,23
35,Beginner vs Advanced,Advanced,57,22
33,Beginner vs Advanced,Advanced,55,22
38,Beginner vs Advanced,Advanced,59,21
39,Beginner vs Advanced,Advanced,64,25
41,Beginner vs Advanced,Advanced,60,19
39,Beginner vs Advanced,Advanced,58,19
33,Beginner vs Advanced,Advanced,56,23
43,Beginner vs Advanced,Advanced,61,18
34,Beginner vs Advanced,Advanced,57,23
37,Beginner vs Advanced,Advanced,57,20
28,Beginner vs Advanced,Advanced,55,27
33,Beginner vs Advanced,Advanced,57,24
33,Beginner vs Advanced,Advanced,56,23
31,Beginner vs Advanced,Advanced,56,25
28,Beginner vs Advanced,Advanced,53,25
28,Beginner vs Advanced,Advanced,52,24
40,Beginner vs Advanced,Advanced,58,18
34,Beginner vs Advanced,Advanced,57,23
36,Beginner vs Advanced,Advanced,58,22
39,Beginner vs Advanced,Advanced,56,17
36,Beginner vs Advanced,Advanced,57,21
48,Beginner vs Advanced,Advanced,64,16
40,Beginner vs Advanced,Advanced,60,20
32,Beginner vs Advanced,Advanced,56,24
29,Beginner vs Advanced,Advanced,56,27
37,Beginner vs Advanced,Advanced,58,21
41,Beginner vs Advanced,Advanced,58,17
41,Beginner vs Advanced,Advanced,58,17
39,Beginner vs Advanced,Advanced,56,17
38,Beginner vs Advanced,Advanced,60,22
36,Beginner vs Advanced,Advanced,55,19
29,Beginner vs Advanced,Advanced,54,25
25,Beginner vs Advanced,Advanced,53,28
33,Beginner vs Advanced,Advanced,57,24
25,Beginner vs Advanced,Advanced,52,27
41,Beginner vs Advanced,Advanced,59,18
37,Beginner vs Advanced,Advanced,57,20
31,Beginner vs Advanced,Advanced,57,26
36,Beginner vs Advanced,Advanced,55,19
35,Beginner vs Advanced,Advanced,58,23
42,Beginner vs Advanced,Advanced,62,20
38,Beginner vs Advanced,Advanced,59,21
45,Beginner vs Advanced,Advanced,62,17
43,Beginner vs Advanced,Advanced,64,21
38,Beginner vs Advanced,Advanced,60,22
44,Beginner vs Advanced,Advanced,59,15
40,Beginner vs Advanced,Advanced,59,19
42,Beginner vs Advanced,Advanced,59,17
34,Beginner vs Advanced,Advanced,60,26
35,Beginner vs Advanced,Advanced,58,23
42,Beginner vs Advanced,Advanced,64,22
35,Beginner vs Advanced,Advanced,57,22
36,Beginner vs Advanced,Advanced,56,20
39,Beginner vs Advanced,Advanced,60,21
33,Beginner vs Advanced,Advanced,54,21
40,Beginner vs Advanced,Advanced,57,17
34,Beginner vs Advanced,Advanced,56,22
36,Beginner vs Advanced,Advanced,57,21
40,Beginner vs Advanced,Advanced,59,19
38,Beginner vs Advanced,Advanced,60,22
34,Beginner vs Advanced,Advanced,54,20
39,Beginner vs Advanced,Advanced,57,18
35,Beginner vs Advanced,Advanced,57,22
35,Beginner vs Advanced,Advanced,56,21
36,Beginner vs Advanced,Advanced,57,21
26,Beginner vs Advanced,Advanced,54,28
29,Beginner vs Advanced,Advanced,56,27
30,Beginner vs Advanced,Advanced,56,26
35,Beginner vs Advanced,Advanced,59,24
35,Beginner vs Advanced,Advanced,62,27
28,Beginner vs Advanced,Advanced,56,28
48,Beginner vs Advanced,Advanced,62,14
33,Beginner vs Advanced,Advanced,55,22
39,Beginner vs Advanced,Advanced,59,20
41,Beginner vs Advanced,Advanced,60,19
41,Beginner vs Advanced,Advanced,60,19
38,Beginner vs Advanced,Advanced,58,20
35,Beginner vs Advanced,Advanced,58,23
46,Beginner vs Advanced,Advanced,61,15
44,Beginner vs Advanced,Advanced,62,18
29,Beginner vs Advanced,Advanced,55,26
38,Beginner vs Advanced,Advanced,61,23
36,Beginner vs Advanced,Advanced,58,22
35,Beginner vs Advanced,Advanced,56,21
35,Beginner vs Advanced,Advanced,57,22
36,Beginner vs Advanced,Advanced,58,22
45,Beginner vs Advanced,Advanced,60,15
24,Beginner vs Advanced,Advanced,54,30
39,Beginner vs Advanced,Advanced,56,17
41,Beginner vs Advanced,Advanced,61,20
31,Beginner vs Advanced,Advanced,55,24
40,Beginner vs Advanced,Advanced,59,19
35,Beginner vs Advanced,Advanced,57,22
28,Beginner vs Advanced,Advanced,53,25
45,Beginner vs Advanced,Advanced,63,18
38,Beginner vs Advanced,Advanced,56,18
42,Beginner vs Advanced,Advanced,60,18
36,Beginner vs Advanced,Advanced,58,22
36,Beginner vs Advanced,Advanced,61,25
32,Beginner vs Advanced,Advanced,56,24
28,Beginner vs Advanced,Advanced,53,25
42,Beginner vs Advanced,Advanced,60,18
46,Beginner vs Advanced,Advanced,63,17
28,Beginner vs Advanced,Advanced,52,24
40,Beginner vs Advanced,Advanced,60,20
34,Beginner vs Advanced,Advanced,60,26
35,Beginner vs Advanced,Advanced,58,23
44,Beginner vs Advanced,Advanced,59,15
32,Beginner vs Advanced,Advanced,56,24
30,Beginner vs Advanced,Advanced,57,27
43,Beginner vs Advanced,Advanced,59,16
44,Beginner vs Advanced,Advanced,63,19
35,Beginner vs Advanced,Advanced,56,21
35,Beginner vs Advanced,Advanced,56,21
47,Beginner vs Advanced,Advanced,62,15
39,Beginner vs Advanced,Advanced,59,20
36,Beginner vs Advanced,Advanced,55,19
35,Beginner vs Advanced,Advanced,58,23
35,Beginner vs Advanced,Advanced,58,23
34,Beginner vs Advanced,Advanced,56,22
37,Beginner vs Advanced,Advanced,58,21
30,Beginner vs Advanced,Advanced,55,25
41,Beginner vs Advanced,Advanced,59,18
32,Beginner vs Advanced,Advanced,56,24
37,Beginner vs Advanced,Advanced,58,21
47,Beginner vs Advanced,Advanced,62,15
31,Beginner vs Advanced,Advanced,56,25
30,Beginner vs Advanced,Advanced,52,22
35,Beginner vs Advanced,Advanced,56,21
37,Beginner vs Advanced,Advanced,57,20
32,Beginner vs Advanced,Advanced,54,22
37,Beginner vs Advanced,Advanced,58,21
38,Beginner vs Advanced,Advanced,59,21
36,Beginner vs Advanced,Advanced,57,21
34,Beginner vs Advanced,Advanced,54,20
33,Beginner vs Advanced,Advanced,55,22
36,Beginner vs Advanced,Advanced,58,22
34,Beginner vs Advanced,Advanced,56,22
30,Beginner vs Advanced,Advanced,54,24
35,Beginner vs Advanced,Advanced,57,22
41,Beginner vs Advanced,Advanced,57,16
30,Beginner vs Advanced,Advanced,57,27
39,Beginner vs Advanced,Advanced,57,18
40,Beginner vs Advanced,Advanced,60,20
29,Beginner vs Advanced,Advanced,57,28
36,Beginner vs Advanced,Advanced,58,22
39,Beginner vs Advanced,Advanced,59,20
38,Beginner vs Advanced,Advanced,58,20
36,Beginner vs Advanced,Advanced,58,22
43,Beginner vs Advanced,Advanced,61,18
28,Beginner vs Advanced,Advanced,56,28
29,Beginner vs Advanced,Advanced,56,27
33,Beginner vs Advanced,Advanced,55,22
43,Beginner vs Advanced,Advanced,62,19
38,Beginner vs Advanced,Advanced,57,19
39,Beginner vs Advanced,Advanced,61,22
37,Beginner vs Advanced,Advanced,58,21
30,Beginner vs Advanced,Advanced,56,26
42,Beginner vs Advanced,Advanced,61,19
37,Beginner vs Advanced,Advanced,60,23
43,Beginner vs Advanced,Advanced,61,18
31,Beginner vs Advanced,Advanced,56,25
36,Beginner vs Advanced,Advanced,56,20
35,Beginner vs Advanced,Advanced,60,25
44,Beginner vs Advanced,Advanced,61,17
35,Beginner vs Advanced,Advanced,56,21
39,Beginner vs Advanced,Advanced,57,18
38,Beginner vs Advanced,Advanced,60,22
40,Beginner vs Advanced,Advanced,60,20
